1550,"Kingswood Res., Pasong Buaya",864188045747712
1935,"Malhacan",864188045656905
2018,"Camarin Rd. Daez",864188042820405
1844,"Anabu 1C",864188045646096
1838,"Anabu 2C  Elysian",864188045760335
1934,"General Evangelista",864188044575627
1940,"Bucal 3B",864188042826154
1943,"Butong",864188045765094
1831,"Palis St., cor Timugan",864188045763768
1969,"NLR Ordoñez St., Ligid, Tipas",864188045646328
2043,"Doña Soledad",864188045635669
1840,"Tiago",864188045743497
2017,"Malagasang 2E / 2nd",864188045756978
1976,"Capt. Bella, Poblacion 4",864188045761135
1936,"Mamatid",864188045743786
1949,"Baclaran",864188045651484
1939,"United Bayanihan",864188045765094
2094,"Purok 4 Bigaa",864188045743299
1996,"P. Burgos",864188045744099
1862,"Panorama St., Rancho Estate III",864188045745054
2046,"Buho",864188045748116
1999,"Magdiwang, Mambog",864188045657283
2033,"San Nicolas 1",864188045742952
1946,"Masiit",864188045744669
2000,"Pasong Camachile (Pascam)",864188045759352
2036,"Burgos St., Sto. Domingo",864188045744677
1941,"Masapang",864188045784509
2101,"Park Avenue Mansion",864188045635669
1919,"MAAX",864188045657796
1634,"Mall of Asia (MOA)  Taste Asia",864188045763040
1918,"Shell Residences",864188045743497
1707,"Sea Residence",864188045751854
1920,"Five ECOM",864188045744776
2047,"Glowing Field",864188045757604
2132,"RMC Building",864188045659339
2052,"P. Torres",864188045636881
2049,"Tahanang Yaman",864188045659891
2040,"Avenida Rizal Street",864188045784525
2112,"Meliton Espiritu",864188045764501
2139,"Bayan Luma 8",864188045763495
2100,"Marinig  Cabuyao",864188045656608
2157,"Banay Banay Lipa",864188045774729
1975,"Plaza Agapita",864188045774881
1944,"Sixto Antonio Pasig",864188045774855
2259,"SM City San Lazaro",864188045654777
2152,"Inusloban Lipa",864188045774039
2106,"Pinagkrusan  Alitagtag",864188045654322
1995,"Kabatuhan Caloocan",864188045774196
2038,"Capt G. topacio Imus",864188045774972
2182,"Beverly Homes Marilao",864188045774926
2059,"Rosaflor Subd. Sta Rosa",864188045742929
2145,"Bucandala 3 Imus",864188045758602
2134,"Jabson St Bangbang",864188045743349
2154,"San Vicente San Pedro",864188045774840
2159,"Bigaa 2 Cabuyao",866447045230352
2104,"Tramo  Kawit Cavite",864188045642814
2093,"Sunrise Subd. Marinig Cabuyao",864188045656582
2144,"Arnaldo cor Vidora Gen Trias",864188045725589
2097,"Riverside Drive Pasig",866447045231707
2140,"Abel Nosce St. Las Piñas",866447045224017
2143,"Evangelista St Santolan",866447045227507
2039,"BanayBanay Amadeo Cavite",866447045230303
2053,"Aplaya Bauan Batangas",866447045223423
2153,"Bancaan Naic",866447044988695
2107,"Bihis Taal Batangas",866447044989966
2150,"Katapatan Mutual Homes",866447045222920
2096,"Governors Hill Subd. (Gen. Trias)",866447044996821
2110,"Kaybagal Central Tagaytay",866447044988885
2051,"Bancod Indang Cavite",866447045244239
2238,"Lake Side Nest",866447045223050
2253,"Pob Agoncillo",866447045239965
1971,"St Joseph Subd",866447045224603
2057,"Luksuhin Ibaba",866447045241847
2105,"Apollo 3",866447045224413
2136,"LMC 2 Bldg Doña Andrea Vill",866447045226830
1467,"Chrysanthemum Village",866447045234735
1555,"Inocencio, TreceIndang Road",866447045244460
2099,"Poblacion 1",354468105599899
1466,"West Wind Market",866447045224199
1441,"Bulihan",866447045237357
1435,"Villa Cristina",866447045244056
1439,"Sabang",866447044983936
1510,"Pacita Complex",866447044992085
1475,"San Antonio Ave.",866447045236995
1442,"Tanzang Luma",863447045224124
1464,"Lancaster",866447044984009
1513,"San Agustin",866447045242266
1463,"KNL",866447044993125
1438,"CPC Building",866447044988091
1473,"Cherry Homes",866447045224660
1553,"Tejero, General Trias",866447044991400
1492,"Filinvest, Tanza",866447044987739
1436,"Green Gate",866447044988273
1569,"IlangIlang, Tanza",866447045223787
1509,"San Roque, Naic",866447045236276
1508,"Yacal",866447044983365
1437,"SpringVille Jaro",866447045240864
1476,"Rosario",866447045241763
1462,"Golden City",866447044988034
1556,"Casa Mercato",866447044974620
1511,"San Juan",866447045240609
1443,"Mary cris",866447044972491
1474,"Fatima Rd, Dasmariñas",866447044992333
1596,"JP Rizal",866447044999866
1440,"Patio Tirona",866447045155948
2160,"Poblacion 2, Bauan",354468105639836
2034,"Bocalan, Amaya 3",354468105602693
1972,"Porta Vaga",354468105604756
2309,"Poblacion 4, Calaca",354468105602248
2241,"R. Diokno, Taal", 35446810541832
2149,"Mambog 4",354468105638762
2295,"St Joseph Village, Marinig",354468105636717
2158,"Gen. P. Alvarez St, San Rafael II",354468105444906
2042,"Tierra Solana Subd., Buenavista III",354468105642111
2316,"Bagong Sikat",354468105627138
2041,"Florentino Joya St",354468105444187
2296,"Balagtas, Phvora",354468105623806
1871,"Nagkaisang Nayon",354468105638742
2155,"Tejero 2",354468105639018
2146,"Tabon 2",354468105623491
2293,"Rizal St., Poblacion Mendez",354468105640362
2135,"A. Mabini St., Manggahan",354468105627765
2161,"Rizal St., Galicia II",356796101881723
2180,"Looc, Calamba",356796101811043
2256,"Bayanan, Putatan",356796101821125
2147,"TM Road, Purok 6, Sucat",356796101822289
2185,"Mandigma St., Brgy 2, Mataas na Kahoy",356796101821141
2055,"Javalera",356796101806399
2294,"Gen. Malvar Ave., Brgy 2",356796101806290
2163,"MH Del Pilar St., Brgy 4",356796101816653
2327,"Santo Angel Sur",356796101816562
2108,"San Cristobal",356796101809054
2183,"Aguado",356796101806183
2418,"PSC Business Center, San Antonio",356796101811936
2297,"SREI Main, F. Gomez St., Kanluran",356796101806548
1434,"Aria Road",354468105627435
1585,"Malagasang 1C",354468105433164
1583,"Bayan Luma, Gen. Yenco",354468105448451
1591,"Pulanglupa Uno",354468105437397
2156,"San Juan, Calamba",354468105415146
1493,"BF Resort",354468105601646
2037,"Ibayo Estacion",354468105642863
1588,"Congressional 1",354468105437860
2202,"Trabajo Market  XRC",354468105604832
1631,"Sto. Tomas",354468105638218
1998,"Sto. Domingo",354468105638606
2044,"Soldier"s Hill, Molino",354468105642962
2916,"AMI SAN VICENTE STO TOMAS PAMPANGA",864188045746904
2986,"AMI KABESANG ST VILLA PARIANCILLO",864188045751854
2756,"AMI ARMAS COMPOUND VALENZUELA",864188045744222
3079,"AMI SAN JOSE MATULID MEXICO",864188045752647
2747,"AMI PIOCRUZCOSA CALUMPIT BULACAN",864188045660386
3036,"AMI BOLBOK LIPA BATANGAS",864188045654009
3051,"SM LIPA CONTAINER VAN",864188045760079
3039,"AMI GIL CARLOS ST SAN JOSE BALIUAG",864188045767785
3102,"AMI SAN VICENTE STA RITA PAMPANGA",866447049070135
2602,"AMI PINES CITY ROYAL ANTIPOLO",866447049070176
2845,"AMI ML QUEZON ST EXT ANTIPOLO",866447049093459
3048,"AMI SAN AGUSTIN STA RITA PAMPANGA",866447049073469
3087,"AMI BRGY BIGA I SILANG CAVITE",866447049409481
2926,"AMI DIOSOMITO SUBD BRGY MUZON",866447049320340
3099,"AMI POBLACION I BAUAN",866447049089234
3128,"AMI SAN ANTONIO GUAGUA",866447049069749
2928,"AMI CALULUT SAN FERNANDO",866447049430594
3035,"AMI DARASA TANAUAN BATANGAS",864188045756994
3033,"AMI D SILANG ST POB 19 BATS",866447049429455
3098,"AMI BAGUMBAYAN TANAUAN",866447049073329
2983,"AMI SAVEMORE EXPRESS CABANATUAN",866447049084797
3075,"AMI MAY IBA TERESA RIZAL",866447049079408
3043,"AMI CASMOR SUBD MABIGA MABALACAT",866447049313774
3047,"AMI POBLACION BUSTOS BULACAN",866447049309442
3103,"AMI ST JUDE VILLAGE SAN AGUSTIN",866447049316445
3076,"AMI BRGY CAPIPISA TANZA",866447049070135
3040,"AMI STA LUCIA STA ANA PAMPANGA",866447049309=889
3140,"AMI SM CITY SAN FERNANDO DOWNTOWN",866447049311463
2350,"AMI CHAMPAGNAT ST RANCHO ESTATE IV",866447049103997
2508,"AMI CAPITOL PARKLAND SUBD CALOOCAN",866447049315670
3104,"AMI KALAYAAN VILL QUEBIAWAN",866447049309335
3086,"AMI MANGGA VILL BRGY SAN AGUSTIN",866447049315555
3074,"AMI SAN VICENTE APALIT PAMPANGA",866447049315613
3131,"AMI LANGKA MEYCAUAYAN",866447044983845
3105,"AMI VILLA MARIA SAMBAT SAN PASCUAL",866447044983712
3092,"AMI SAN JUAN TAYTAY RIZAL",866447044974448
3126,"AMI JULUGAN 8 TANZA",866447045156193
3044,"AMI NELISA BLDG SANDICO ST MARILAO",866447044988505
3108,"AMI POBLACION II CUENCA BATANGAS",866447045241797
3172,"AMI SAN NICOLAS MINALIN PAMPANGA",866447045758107
3037,"AMI MH DEL PILAR ST BRGY PALASAN",866447040698316
3078,"AMI JPDC BDG BRGY MANIBAUG PARALAYA",866447049093491
2922,"AMI LOURDES AVENUE MINALIN",866447049093715
3077,"AMI ROMAN VILLE BRGY SAN CARLOS",866447044990568
3041,"AMI LANESCA BLDG SITIO HULO CATMON",866447041970656
3179,"AMI STO TOMAS LUBAO PAMPANGA",866447041944420
3127,"AMI QUEZON ST CUPANG MUNTINLUPA",866447044983563
3129,"AMI PINAOD SAN ILDEFONSO",866447045825730
3091,"AMI GOV F HALILI TUMANA STA MARIA",866447049092709
3081,"AMI NAVARETTE ST ARKONG BATO",866447049316215
3089,"AMI CASUAY ST SIGNAL VILLAGE",866447044990717
2469,"AMI PEDRACIO ST BRGY DALIG",866447049317635
2927,"AMI BRGY GUINHAWA MALOLOS",356796101175654
3088,"AMI BECURAN STA RITA PAMPANGA",356796100048076
3222,"AMI BRGY POBLACION SAN ILDEFONSO",356796100680267
3114,"AMI GUITNANG BAYAN 2 SAN MATEO",356796100049538
3096,"AMI TENEJERO CANDABA PAMPANGA",356796100046163
2990,"AMI JP RIZAL ST MALANDAY MARIKINA",356796100048398
3093,"AMI CM RECTO AVE LIPA",3567961011755654
3111,"AMI MOLINO RD MOLINO 2 BACOOR",356796100619207
3177,"AMI POBLACION CABIAO SAN JUAN SOUTH",356796100615973
3115,"AMI DOMINGA COR MANAPAT ST PASAY",356796100615973
3225,"AMI TURO BOCAUE",356796100049553
3220,"AMI SANTIAGO STA ANA PAMPANGA",356796100608143
3187,"AMI SAN ROQUE SAN ISIDRO NE",356796100612855
3169,"AMI POBLACION II PENARANDA NE",356796100048795
3168,"AMI SAMPALOC APALIT PAMPANGA",356796100318412
3173,"AMI MALINO SAN FERNANDO PAMPANGA",356796100044610
3219,"AMI ANILAO EAST MABINI BATANGAS",356796101175357
3211,"AMI POBLACION I TANAUAN",354468105033428
3180,"AMI ERMITA MANILA",356796100622938
3137,"AMI INTERIOR LT BRGY IBABA STA ROSA",356796101098013
3130,"AMI F MANALO BRGY CALZADA TIPAS",356796100823956
3141,"AMI SM CITY TELABASTAGAN",356796100294183
3181,"AMI SAN ISIDRO CABANATUAN",356796100046449
3210,"AMI KAPITAN PEPE SUBD SAN JOSEF SUR",356796100267320
3136,"AMI PULANG MASLE GUAGUA",356796100318404
3183,"AMI HARMONY HILLS MUZON SJDM",356796100048340
3125,"AMI TONGCO ST MAYSAN VALENZUELA",356796100287880
3082,"AMI SAN JUAN SAN MIGUEL BULACAN",356796101264037
3174,"AMI RVFOUR BLDG KUMINTANG IBABA",356796101097957
3227,"AMI NIYUGAN JAEN NUEVA ECIJA",356796101260423
2444,"AMI PANAY AVE QUEZON CITY",356796101227083
2918,"AMI BULIRAN RD BRGY SAN ISIDRO",356796101225072
3049,"AMI SUMULONG ST SAN ROQUE",356796101261116
3034,"AMI CLAMOR AVE BAGUMBONG",356796101257957
3113,"AMI BARRIO RD BRGY 168 CALOOCAN",356796101260720
3109,"AMI DELA PAZ NORTE SAN FERNANDO",356796101259367
3208,"AMI CONCEPCION SAN SIMON",356796101258021
3135,"AMI BAHAY PARE CANDABA",356796101247792
3175,"AMI SAN JUAN GEN TRIAS",356796102163394
3184,"AMI RINCON RD RINCON VALENZUELA",356796102163543
3112,"AMI BUHAY NA SAPA SAN JUAN BATS",356796102164160
3252,"AMI SM MALL OF ASIA SMX",356796102110700
3186,"AMI SAN ROQUE CABIAO NUEVA ECIJA",356796102107532
3238,"AMI NIA RD PULONG GUBAT BALAGTAS",356796102138495
3239,"AMI BRGY III MATAAS NA KAHOY BATS",356796102111674
3276,"AMI JP RIZAL SAN JOSE BALIUAG",356796102107292
3216,"AMI ARLIB BLDG TABE GUIGUINTO",356796102186080
3176,"AMI PADRE DIEGO CERA MANUYO UNO",356796102163915
3085,"AMI BRGY MAYAMOT ANTIPOLO",356796102184911
3249,"AMI DONA REMEDIOS BRGY PINAGBARILAN",356796102136739
3224,"AMI P OCAMPO ST TANCINGCO SUBD",356796102185702
3268,"AMI MATABUNGKAY LIAN BATANGAS",356796102184424
3090,"AMI CALICANTO BATANGAS",356796102111674
3209,"AMI SULLERA ST PANDAYAN MEYCAUAYAN",356796102136689
3244,"AMI SAN PASCUAL TALAVERA NE",356796102570457
3171,"AMI SAN PEDRO GUAGUA PAMPANGA",356796102564062
3315,"AMI SM NU TOWER",356796102566679
3265,"AMI BRGY TALANG CANDABA",356796102564062
3277,"AMI RP SONGCO ST POB FLORIDABLANCA",356796102562942
3138,"AMI SAN CARLOS SAN LUIS PAMPANGA",356796102571505
3242,"AMI ALASAS SAN FERNANDO PAMPANGA",356796102571067
3134,"AMI BEBE ANAC MASANTOL PAMPANGA",356796102564252
3267,"AMI ARTERIAL RD TABANG GUIGUINTO",356796102562389
3215,"AMI SAN ISIDRO SAN SIMON",356796102567164
3280,"AMI VICTONETA AVE POTRERO MALABON",356796102423541
3255,"AMI SAVEMORE MENDEZ",356796102569509
3254,"AMI SM CENTER IMUS",356796102565143
3170,"AMI MALAGASANG RD MALAGASANG II A",356796102570812
3106,"AMI RESIDENCIA LACONSOLACION SAMBAT",356796102563528
3251,"AMI DEL PILAR EAST ZARAGOZA NE",356796102566166
3272,"AMI PAMBUAN DISTRICT IV GAPAN",356796102564708
3301,"AMI GREENWOODS EXEC STA ANA TAYTAY",356796102571588
3342,"AMI SALINAS II BACOOR CAVITE",354468105198593
3243,"AMI BRGY BIGA II SILANG CAVITE",356796102557520
3247,"AMI JP RIZAL ST SAN GABRIEL BULACAN",356796102554287
3361,"AMI NORTHCO GAS SANTA CRUZ BULACAN",354468015200498
3188,"AMI SAN NICOLAS SAN FERNANDO",354468015202627
3218,"AMI BRGY SAN GABRIEL GMA CAVITE",356796102557520
3316,"AMI BRGY CACARONG MATANDA PANDI",356796102555946
3213,"AMI BAUTISTA ST BAYANAN MUNTINLUPA",356796102557215
3357,"AMI SAN JUAN LUBAO PAMPANGA",354468015200415
3214,"AMI G AND R PLACE STA INES BACOLOR",354468015202064
3250,"AMI BACAO SAN ISIDRO GEN TRIAS",356796102558221
3274,"AMI J FELIPE BLVD BRGY 46 CAVITE",354468015209429
3266,"AMI ARTERIAL RD BRGY SAN FRANCISCO",354468015202680
3364,"AMI PULONG GUBAT BALAGTAS 2",354468015200506
3313,"AMI PUROC 1 CAMACHILES MABALACAT",354468015199732
3305,"AMI SAN AGUSTIN GUAGUA PAMPANGA",354468015199849
3363,"AMI STA RITA CABIAO NUEVA ECIJA",354468015201009
3253,"AMI SM CITY DASMARINAS",354468015208 627
3345,"AMI STO TOMAS SASMUAN PAMPANGA",354468015208 353
3309,"AMI PANDACAQUI MEXICO PAMPANGA",354468015209385
3400,"AMI SARMIENTO HOMES MUZON II SJDM",354468015201249
3142,"AMI GRASS II RESIDENCES",356796102588830
